ID,POSID,BANNERNAME,NAME,ADDRESS,CITY,PROVINCE ABBV.,COUNTRY ABBV.,POSTALCODE,PHONENUMBER,LATITUDE,LONGITUDE,WEBSITE URL
30,255252,Fire & Flower,Portage La Prairie - Royal Plains,2352 Sissons Dr,Portage la Prairie,MB,CA,R1N 3V9,,49.97373,-98.32485,https://fireandflower.com/shop/255252?redirect=%2Fshop&agb=true
31,130838,Fire & Flower,Red Deer Bower Center,3121 49 Ave,Red Deer,AB,CA,T4N 3V8,,52.25056,-113.81137,https://fireandflower.com/shop/130838?redirect=%2Fshop&agb=true
32,130834,Fire & Flower,Red Deer Dawson Center,6802 50 Ave,Red Deer,AB,CA,T4N 4C9,,52.29286,-113.8153,https://fireandflower.com/shop/130834?redirect=%2Fshop&agb=true
33,166318,Fire & Flower,Regina,680 E Victoria Ave,Regina,SK,CA,S4N 7E1,,50.44724,-104.57289,https://fireandflower.com/shop/166318?redirect=%2Fshop&agb=true
34,228796,Fire & Flower,Saskatoon - Blairmore Village,"220 Betts Ave, Unit 140",Saskatoon,SK,CA,S7M 1L2,,52.126,-106.75794,https://fireandflower.com/shop/228796?redirect=%2Fshop&agb=true
35,247627,Fire & Flower,Saskatoon City Park,402 2 Avenue N,Saskatoon,SK,CA,S7K 2C3,,52.1336,-106.66095,https://fireandflower.com/shop/247627?redirect=%2Fshop&agb=true
36,261923,Fire & Flower,Saskatoon - Idylwyld Drive,1421 Idylwyld Dr N,Saskatoon,SK,CA,S7L 1A7,,52.14783,-106.67031,https://fireandflower.com/shop/261923?redirect=%2Fshop&agb=true
37,255264,Fire & Flower,Saskatoon - Stonebridge,214 Stonebridge Blvd,Saskatoon,SK,CA,S7T 0J1,,52.08357,-106.64237,https://fireandflower.com/shop/255264?redirect=%2Fshop&agb=true
38,228798,Fire & Flower,Saskatoon - Willowgrove,"531 Nelson Rd, 13",Saskatoon,SK,CA,S7S 1P4,,52.15007,-106.5669,https://fireandflower.com/shop/228798?redirect=%2Fshop&agb=true
39,254392,Fire & Flower,Scarborough Morningside Crossing,"4525 Kingston Rd, H3",Scarborough,ON,CA,M1E 2P1,,43.77089,-79.18449,https://fireandflower.com/shop/254392?redirect=%2Fshop&agb=true
40,240077,Fire & Flower,Selkirk - Selkirk Crossing,1014 Manitoba Ave,Selkirk,MB,CA,R1A 4M2,,50.15657,-96.89997,https://fireandflower.com/shop/240077?redirect=%2Fshop&agb=true
41,176587,Fire & Flower,Sherwood Park Baseline Road,590 Baseline Rd,Sherwood Park ,AB,CA,T8H 2K6,,53.54179,-113.26641,https://fireandflower.com/shop/176587?redirect=%2Fshop&agb=true
42,176586,Fire & Flower,Sherwood Park Wye,99 Wye Rd,Sherwood Park ,AB,CA,T8B 1M1,,53.51141,-113.33173,https://fireandflower.com/shop/176586?redirect=%2Fshop&agb=true
43,169090,Fire & Flower,Slave Lake,1500 Main St SE,Slave Lake,AB,CA,T0G 2A0,,55.27127,-114.78143,https://fireandflower.com/shop/169090?redirect=%2Fshop&agb=true
44,169095,Fire & Flower,Spruce Grove Westwind,10 Westwind Dr,Parkland County,AB,CA,T7X 0Y5,,53.42116,-113.85431,https://fireandflower.com/shop/169095?redirect=%2Fshop&agb=true
45,130841,Fire & Flower,St. Albert Inglewood Square,19 Bellerose Dr,St. Albert ,AB,CA,T8N 5C9,,53.64645,-113.62332,https://fireandflower.com/shop/130841?redirect=%2Fshop&agb=true
46,169093,Fire & Flower,St. Albert Shoppes at Giroux,4 Versailles Ave,St. Albert ,AB,CA,T8N 7E7,,53.63907,-113.67268,https://fireandflower.com/shop/169093?redirect=%2Fshop&agb=true
47,130842,Fire & Flower,Stettler,6610 50 Ave,Stettler,AB,CA,T0C 2L2,,52.32543,-112.73565,https://fireandflower.com/shop/130842?redirect=%2Fshop&agb=true
48,130843,Fire & Flower,Strathmore Pine Centre,800 Pine Rd,Strathmore,AB,CA,T1P 0A2,,51.03694,-113.39171,https://fireandflower.com/shop/130843?redirect=%2Fshop&agb=true
49,166277,Fire & Flower,Swan River,526 Main St,Swan River,MB,CA,R0L 1Z0,,52.10528,-101.26939,https://fireandflower.com/shop/166277?redirect=%2Fshop&agb=true
50,172289,Fire & Flower,Sylvan Lake,40 Hewlett Park Landing,Sylvan Lake,AB,CA,T4S 2J3,,52.30495,-114.07545,https://fireandflower.com/shop/172289?redirect=%2Fshop&agb=true
51,220968,Fire & Flower,Toronto Jane Street,1542 Jane St,North York,ON,CA,M9N 2R5,,43.69774,"-79.50242,",https://fireandflower.com/shop/220968?redirect=%2Fshop&agb=true
52,187942,Fire & Flower,Toronto Parkdale,4 Brock Ave,Toronto,ON,CA,M6K 2K7,,43.64171,-79.43246,https://fireandflower.com/shop/187942?redirect=%2Fshop&agb=true
53,220981,Fire & Flower,Toronto Sheridan Mall,"1616 Wilson Ave, Unit 1",Toronto,ON,CA,M3L 1A3,,43.72129,-79.51015,https://fireandflower.com/shop/220981?redirect=%2Fshop&agb=true
54,172408,Fire & Flower,Toronto Stockyards,1970 St Clair Ave W,Toronto,ON,CA,M6N 4X9,,43.67243,-79.46842,https://fireandflower.com/shop/172408?redirect=%2Fshop&agb=true
55,228795,Fire & Flower,Vancouver Broadway,2570 Granville St,Vancouver,BC,CA,V6H 3G8,,49.2629,-123.13859,https://fireandflower.com/shop/228795?redirect=%2Fshop&agb=true
56,143164,Fire & Flower,Westlock,10111 104 Ave,Westlock,AB,CA,T7P 1K6,,54.1538,-113.85038,https://fireandflower.com/shop/143164?redirect=%2Fshop&agb=true
57,248669,Fire & Flower,Weyburn - Government Road,95 Government Rd,Weyburn,SK,CA,S4H 3M7,,49.65841,-103.85819,https://fireandflower.com/shop/248669?redirect=%2Fshop&agb=true
58,176588,Fire & Flower,Whitecourt Power Center,4331-52 Ave,Whitecourt,AB,CA,T7S 1X6,,54.142,-115.66938,https://fireandflower.com/shop/176588?redirect=%2Fshop&agb=true
59,166319,Fire & Flower,Whitehorse,"80 Chilkoot Way, Unit #110",Whitehorse,YT,CA,Y1A 6T5,,60.721,-135.05684,https://fireandflower.com/shop/166319?redirect=%2Fshop&agb=true
60,240076,Fire & Flower,Winnipeg Park City Commons,1460 Plessis Rd,Winnipeg,MB,CA,R2C 5G6,,49.89879,-97.02594,https://fireandflower.com/shop/240076?redirect=%2Fshop&agb=true
61,255268,Fire & Flower,Winnipeg SHED,330 Portage Ave,Winnipeg,MB,CA,R3C 0C4,,49.89303,-97.14505,https://fireandflower.com/shop/255268?redirect=%2Fshop&agb=true
62,240074,Fire & Flower,Winnipeg Southglen,"730 St Anne's Rd, Unit K",Winnipeg,MB,CA,R2N 0A2,,49.82306,-97.083,https://fireandflower.com/shop/240074?redirect=%2Fshop&agb=true
63,130847,Fire & Flower,Yorkton,5A 275 Broadway St E,Yorkton,SK,CA,S3N 3K7,,51.21032,-102.44429,https://fireandflower.com/shop/130847?redirect=%2Fshop&agb=true
64,241043,Friendly Stranger,Barrie | Dunlop St,79 Dunlop St W,Barrie,ON,CA,L4N 1A5,,44.38809,-79.69287,https://friendlystranger.com/shop/241043?redirect=%2Fshop&agb=true
65,241028,Friendly Stranger,Burlington | Plains Road,1025 Plains Rd E,Burlington,ON,CA,L7T 4K1,,43.32507,-79.82939,https://friendlystranger.com/shop/241028?redirect=%2Fshop&agb=true
66,241029,Friendly Stranger,Cambridge | Franklin Blvd,200 Franklin Blvd,Cambridge,ON,CA,N1R 8N8,,43.35488,-80.28728,https://friendlystranger.com/shop/241029?redirect=%2Fshop&agb=true
67,241031,Friendly Stranger,Dundas | Osler Dr.,101 Osler Dr,Dundas,ON,CA,L9H 4H6,,43.25941,-79.94335,https://friendlystranger.com/shop/241031?redirect=%2Fshop&agb=true
68,241034,Friendly Stranger,Midland | Bay St,542 Bay St,Midland,ON,CA,L4R 1L3,,44.75084,-79.88852,https://friendlystranger.com/shop/241034?redirect=%2Fshop&agb=true
69,241047,Friendly Stranger,Orillia | Mississauga St E,69 Mississauga St E,Orillia,ON,CA,L3V 1V4,,44.60897,-79.41803,https://friendlystranger.com/shop/241047?redirect=%2Fshop&agb=true
70,241035,Friendly Stranger,Oshawa | Ritson Rd.,204 Ritson Rd N ,Oshawa,ON,CA,L1G 0B2,,43.90455,-78.85721,https://friendlystranger.com/shop/241035?redirect=%2Fshop&agb=true
71,358379,Friendly Stranger,Scarborough | Cliffside,"2465 Kingston Rd, 110",Scarborough,ON,CA,M1N 1V4,,43.70952,-79.24918,https://friendlystranger.com/shop/358379?redirect=%2Fshop&agb=true
72,241036,Friendly Stranger,Toronto | Church St.,501 Church St,Toronto,ON,CA,M4Y 2C6,,43.66556,-79.38087,https://friendlystranger.com/shop/241036?redirect=%2Fshop&agb=true
73,241037,Friendly Stranger,Toronto | Danforth Ave.,"283 Danforth Ave, A",Toronto,ON,CA,M4K 1N2,,43.67708,-79.35441,https://friendlystranger.com/shop/241037?redirect=%2Fshop&agb=true
74,347183,Prairie Records,Calgary - Forest Lawn,4420 17 Ave SE,Calgary,AB,CA,T2A 0T6,,51.037496,-113.957164,https://prairierecords.ca/shop/347183?redirect=%2Fshop&agb=true
75,347189,Prairie Records,Calgary - Palace Theatre,219A 8 Ave SW,Calgary,AB,CA,T2P 1E3,,51.04565,-114.06658,https://prairierecords.ca/shop/347189?redirect=%2Fshop&agb=true
76,347187,Prairie Records,Edmonton - Campus,8623 112 St NW Unit #102,Edmonton,AB,CA,T6G 1K8,,53.52243,-113.52042,https://prairierecords.ca/shop/347187?redirect=%2Fshop&agb=true
77,347185,Prairie Records,Saskatoon - Broadway,720 Broadway Ave,Saskatoon,SK,CA,S7N 1B4,,52.11819,-106.65686,https://prairierecords.ca/shop/347185?redirect=%2Fshop&agb=true
78,347186,Prairie Records,Saskatoon - Stonebridge,3020 Preston Ave S,Saskatoon,SK,CA,S7T 0V2,,52.08739,-106.62263,https://prairierecords.ca/shop/347186?redirect=%2Fshop&agb=true
79,347184,Prairie Records,Warman - Second Ave,100 2 Ave N,Warman,SK,CA,S0K 4S0,,52.31863,-106.58447,https://prairierecords.ca/shop/347184?redirect=%2Fshop&agb=true
80,2183,Pops Cannabis,Almonte,401 Ottawa St Unit 6,Almonte,ON,CA,K0A 1A0,,45.23441,-76.18218,https://popscannabis.ca/shop/2183?redirect=%2Fshop&agb=true
81,3812,Pops Cannabis,Applewood Hills,1125 Bloor St Unit 13,Mississauga,ON,CA,L4Y 2N6,,43.61121,-79.60044,https://popscannabis.ca/shop/3812?redirect=%2Fshop&agb=true
82,2622,Pops Cannabis,Barrie,829 Big Bay Point Rd Unit D6 ,Barrie,ON,CA,L4M 4S6,,44.3631,-79.61626,https://popscannabis.ca/shop/2622?redirect=%2Fshop&agb=true
83,4279,Pops Cannabis,Barrie (Bayfield),534 Bayfield St Unit B,Barrie,ON,CA,L4M 5A2,,44.41441,-79.71298,https://popscannabis.ca/shop/4279?redirect=%2Fshop&agb=true
84,3927,Pops Cannabis,Bowmanville,2316 Hwy 2,Bowmanville,ON,CA,L1C 3K7,,43.90954,-78.71594,https://popscannabis.ca/shop/3927?redirect=%2Fshop&agb=true
85,3458,Pops Cannabis,Brampton,10 Beaumaris Dr Unit 11,Brampton,ON,CA,L6T 5J6,,43.76432,-79.66144,https://popscannabis.ca/shop/3458?redirect=%2Fshop&agb=true
86,2182,Pops Cannabis,Brights Grove,2600 Lakeshore Rd Unit 9,Brights Grove,ON,CA,N0N 1C0,,43.02797,-82.2557,https://popscannabis.ca/shop/2182?redirect=%2Fshop&agb=true
87,3801,Pops Cannabis,Clarkson Crossings,960 Southdown Rd. Unit C7,Mississauga,ON,CA,L5J 2Y4,,43.50971,-79.62915,https://popscannabis.ca/shop/3801?redirect=%2Fshop&agb=true
88,3799,Pops Cannabis,Collingwood,151 First St Unit 2,Collingwood,ON,CA,L9Y 4W3,,44.50291,-80.22164,https://popscannabis.ca/shop/3799?redirect=%2Fshop&agb=true
89,2840,Pops Cannabis,Courtice,1635 Hwy 2 Unit 102,Courtice,ON,CA,L1E 2R6,,43.91093,-78.78822,https://popscannabis.ca/shop/2840?redirect=%2Fshop&agb=true
90,1986,Pops Cannabis,Hanmer,5118 Old Highway 69 N. Unit 2,Hanmer,ON,CA,P3P 1B9,,46.65277,-80.98801,https://popscannabis.ca/shop/1986?redirect=%2Fshop&agb=true
91,2459,Pops Cannabis,Hawkesbury,400 Spence Ave. Unit 101,Hawkesbury,ON,CA,K6A 2Y3,,45.59868,-74.61179,https://popscannabis.ca/shop/2459?redirect=%2Fshop&agb=true
92,2008,Pops Cannabis,Kapuskasing,25 Brunetville Rd Unit B1,Kapuskasing,ON,CA,P5N 2E7,,49.42,-82.41992,https://popscannabis.ca/shop/2008?redirect=%2Fshop&agb=true
93,1835,Pops Cannabis,Kirkland Lake,"150 Government Rd W. Unit 260, 260",Kirkland Lake,ON,CA,P2N 2E9,,48.14731,-80.04524,https://popscannabis.ca/shop/1835?redirect=%2Fshop&agb=true
94,3579,Pops Cannabis,Liberty,61 Hanna Ave #3,Toronto,ON,CA,M6K 3N7,,43.63969,-79.41883,https://popscannabis.ca/shop/3579?redirect=%2Fshop&agb=true
95,3928,Pops Cannabis,Mississauga (Central Parkway),377 Burnhamthorpe Rd. E. Unit 2A,Mississauga,ON,CA,L5A 3Y1,,43.60272,-79.62702,https://popscannabis.ca/shop/3928?redirect=%2Fshop&agb=true
96,4016,Pops Cannabis,Mississauga (Derry Road),3221 Derry Rd. W. Unit 10,Mississauga,ON,CA,L5N 7L7,,43.5835,-79.77859,https://popscannabis.ca/shop/4016?redirect=%2Fshop&agb=true
