ID,POSID,BANNERNAME,NAME,ADDRESS,CITY,PROVINCE ABBV.,COUNTRY ABBV.,POSTALCODE,PHONENUMBER,LATITUDE,LONGITUDE,WEBSITE URL
127,2508,FIKA,London Argyle - FIKA,340 Clarke Rd Unit 3,London,ON,CA,N5W 5G1,,43.00228,-81.17459,https://fikacannabis.com/shop/2508?redirect=%2Fshop&agb=true
128,3497,FIKA,London North - FIKA,1965 Hyde Park Road Unit 104A,London,ON,CA,N6H 0A3,,43.00919,-81.33732,https://fikacannabis.com/shop/3497?redirect=%2Fshop&agb=true
129,2113,FIKA,Milton - FIKA,1290 Steeles Avenue East Unit C3.3,Milton,ON,CA,L9T 6R1,,43.54356,-79.8683,https://fikacannabis.com/shop/2113?redirect=%2Fshop&agb=true
130,2266,FIKA,Morningside - FIKA,,,,CA,,,,,https://fikacannabis.com/shop/2266?redirect=%2Fshop&agb=true
131,2114,FIKA,Oshawa North - FIKA,,,,CA,,,,,https://fikacannabis.com/shop/2114?redirect=%2Fshop&agb=true
132,4351,FIKA,Port Carling - FIKA,"111 Medora St, Unit WM-A1",Port Carling,ON,CA,P0B 1J0,,45.12124,-79.57827,https://fikacannabis.com/shop/4351?redirect=%2Fshop&agb=true
133,2057,FIKA,St. Thomas - FIKA,1063 Talbot St Unit L2B,St. Thomas,ON,CA,N5P 1J4,,42.77871,-81.17019,https://fikacannabis.com/shop/2057?redirect=%2Fshop&agb=true
134,2314,FIKA,Sudbury - FIKA,2408 Long Lake Rd Unit E006,Sudbury,ON,CA,P3E 5H5,,46.44022,-81.00477,https://fikacannabis.com/shop/2314?redirect=%2Fshop&agb=true
135,2618,FIKA,Toronto Fairview - FIKA,1800 Sheppard Ave E Unit 1047,North York,ON,CA,M2J 5A7,,43.77746,-79.34383,https://fikacannabis.com/shop/2618?redirect=%2Fshop&agb=true
136,3340,FIKA,Union Station - FIKA,65 Front St W Unit 405,Toronto,ON,CA,M5J 2N1,,43.64568,-79.38037,https://fikacannabis.com/shop/3340?redirect=%2Fshop&agb=true
137,2328,FIKA,Windsor - FIKA,3222A Dougall Ave Unit A,Windsor,ON,CA,N9E 1S6,,42.26771,-83.01054,https://fikacannabis.com/shop/2328?redirect=%2Fshop&agb=true
138,4259,FIKA,Yonge & Dundas - FIKA,10 Dundas St E Unit 100,Toronto,ON,CA,M5B 2G9,,43.65641,-79.38053,https://fikacannabis.com/shop/4259?redirect=%2Fshop&agb=true
139,4089,Ganjika,Ganjika House - Cherry Hill,801 Dundas St E. Unit D1,Mississauga,ON,CA,L4Y 4G9,,43.59753,-79.59806,https://ganjika-house.com/shop/4089?redirect=%2Fshop&agb=true
140,703,Ganjika,Ganjika House - Main Street,186 Main St South,Brampton,ON,CA,L6W 2E2,,43.67628,-79.74627,https://ganjika-house.com/shop/703?redirect=%2Fshop&agb=true
141,4051,Ganjika,Ganjika House - Oshawa,"575 Thornton RD. N., Unit 7",Oshawa,ON,CA,L1J 8L5,,43.90795,-78.90013,https://ganjika-house.com/shop/4051?redirect=%2Fshop&agb=true
142,4050,Ganjika,Ganjika House - Queen Street,2880 Queen St E. Unit 8,Brampton,ON,CA,L6S 6H4 ,,43.74247,-79.69867,https://ganjika-house.com/shop/4050?redirect=%2Fshop&agb=true
143,2408,Bud Supply,Boxcar Bud Supply,1908 18th St,Coaldale,AB,CA,T1M 1M7,,49.72802,-112.61984,https://budsupplygroup.ca/shop/2408?redirect=%2Fshop&agb=true
144,3988,Bud Supply,Castle Cannabis,D-1102 Chief Mountain Ave,Pincher Creek,AB,CA,T0K 1W0,,49.49885,-113.94377,https://budsupplygroup.ca/shop/3988?redirect=%2Fshop&agb=true
145,926,Bud Supply,Creek Bud Supply,2-1315 Freebairn Ave,Pincher Creek,AB,CA,T0K 1W0,,49.49714,-113.94684,https://budsupplygroup.ca/shop/926?redirect=%2Fshop&agb=true
